RegionName,Date,Predicted_Value
Augusta,2025-04-30,247729.23329031025
Augusta,2025-05-31,259412.8003988812
Augusta,2025-06-30,260853.89942851212
Augusta,2025-07-31,258796.6586412731
Augusta,2025-08-31,249590.4129363359
Palm Bay,2025-03-31,332303.0338580168
Palm Bay,2025-04-30,349333.64536902285
Palm Bay,2025-05-31,351333.98749554576
Palm Bay,2025-06-30,347538.02644087834
Palm Bay,2025-07-31,349685.0943083604
Palm Bay,2025-08-31,349657.7718958484
Jackson,2025-03-31,208846.6131404029
Jackson,2025-04-30,218511.90150189647
Jackson,2025-05-31,227139.8002675062
Jackson,2025-06-30,226615.45585523092
Jackson,2025-07-31,231133.28688555572
Jackson,2025-08-31,219958.9350307396
Harrisburg,2025-03-31,250310.91291141143
Harrisburg,2025-04-30,262651.0397523004
Harrisburg,2025-05-31,283894.4481357159
Harrisburg,2025-06-30,292448.6911898168
Harrisburg,2025-07-31,284248.68380819954
Harrisburg,2025-08-31,294853.57594074064
Spokane,2025-03-31,408489.9578446671
Spokane,2025-04-30,419609.0072997824
Spokane,2025-05-31,440796.7283823109
Spokane,2025-06-30,441295.0760796276
Spokane,2025-07-31,429287.3249102193
Spokane,2025-08-31,424812.41820151336
Scranton,2025-03-31,191690.56801571697
Scranton,2025-04-30,193796.59734108977
Scranton,2025-05-31,201965.22826520097
Scranton,2025-06-30,214254.2512459422
Scranton,2025-07-31,210444.5742610487
Scranton,2025-08-31,211135.8892545015
Chattanooga,2025-03-31,306662.7368148586
Chattanooga,2025-04-30,308921.2198082571
Chattanooga,2025-05-31,317342.090722218
Chattanooga,2025-06-30,328088.1905492381
Chattanooga,2025-07-31,317865.1238850867
Chattanooga,2025-08-31,318194.2662946866
Modesto,2025-03-31,456096.9058587416
Modesto,2025-04-30,475094.31300260784
Modesto,2025-05-31,475356.8246525876
Modesto,2025-06-30,472588.4813942852
Modesto,2025-07-31,472488.3671085868
Modesto,2025-08-31,463996.8314285103
Lancaster,2025-03-31,331642.26822538883
Lancaster,2025-04-30,333579.1598114196
Lancaster,2025-05-31,341230.3241809085
Lancaster,2025-06-30,357315.6239493065
Lancaster,2025-07-31,362843.25726367766
Lancaster,2025-08-31,360212.8416987613
Youngstown,2025-03-31,153421.7494089422
Youngstown,2025-04-30,154000.74707913172
Youngstown,2025-05-31,165511.04196545057
Youngstown,2025-06-30,175903.17544127337
Youngstown,2025-07-31,170630.7827810527
Youngstown,2025-08-31,165998.9093338597
Lansing,2025-03-31,202477.58332420723
Lansing,2025-04-30,213095.75964187304
Lansing,2025-05-31,233662.43667084887
Lansing,2025-06-30,236892.8516052485
Lansing,2025-07-31,230133.4835343472
Lansing,2025-08-31,226690.9233665751
Fayetteville,2025-03-31,303538.7922742141
Fayetteville,2025-04-30,307978.20810076647
Fayetteville,2025-05-31,325803.72668685747
Fayetteville,2025-06-30,332762.92653212155
Fayetteville,2025-07-31,318146.3962838367
Fayetteville,2025-08-31,318624.9575435462
Lexington,2025-03-31,306698.328803072
Lexington,2025-04-30,310526.211775729
Lexington,2025-05-31,321510.15675110504
Lexington,2025-06-30,338292.159260003
Lexington,2025-07-31,332484.6627049875
Lexington,2025-08-31,332785.7312793347
Pensacola,2025-03-31,310833.1175585592
Pensacola,2025-04-30,316294.66139150684
Pensacola,2025-05-31,327673.6759537839
Pensacola,2025-06-30,337668.3300957508
Pensacola,2025-07-31,324609.9292818846
Pensacola,2025-08-31,323821.61536602455
Santa Rosa,2025-03-31,787180.2358126588
Santa Rosa,2025-04-30,803386.9963734924
Santa Rosa,2025-05-31,807856.020446526
Santa Rosa,2025-06-30,817416.6322993471
Santa Rosa,2025-07-31,809777.7713868902
Santa Rosa,2025-08-31,790688.4911564784
Reno,2025-03-31,550530.6251077078
Reno,2025-04-30,547331.2188118965
Reno,2025-05-31,569488.2451861142
Reno,2025-06-30,573512.2566498504
Reno,2025-07-31,574305.199825161
Reno,2025-08-31,574598.325785572
Huntsville,2025-03-31,295868.14604458795
Huntsville,2025-04-30,294170.20979647816
Huntsville,2025-05-31,307404.5659732287
Huntsville,2025-06-30,318190.0336212287
Huntsville,2025-07-31,311811.98832757823
Huntsville,2025-08-31,300832.1531280511
Port St. Lucie,2025-03-31,380464.1797384815
Port St. Lucie,2025-04-30,390151.02783398086
Port St. Lucie,2025-05-31,402946.7309485862
Port St. Lucie,2025-06-30,404142.4402035706
Port St. Lucie,2025-07-31,392179.1199010739
Port St. Lucie,2025-08-31,397138.296493678
Lafayette,2025-03-31,249333.930681568
Lafayette,2025-04-30,240793.91610649103
Lafayette,2025-05-31,259937.84763533724
Lafayette,2025-06-30,254839.9163345471
